ActorLabel,Class,OutlinerPath,Guid,PlacementCount,OwnDataLayers,InheritedDataLayers,LevelInstanceChain,OwningLevelAsset,ReferencedLevelAsset,CenterX,CenterY,CenterZ
LA_Grassland_Mound_Heather_01a43,LevelInstance,LV_Overland/Region/Hogwarts Valley/Hogsmeade_RiverBlockout/LI_Hogsmeade_River/LA_Grassland_Mound_Heather_01a43,8ED2B209-4EE4-E327-6D49-92B0FD56F1A1,1,DL_HOGSMEADE;DL_OVERLAND,DL_HM_EXT;DL_HOGSMEADE,LI_Hogsmeade_River,/Game/Environment/River/LI_Hogsmeade_River,/Game/Environment/LevelAssemblies/Flora/LA_Heather_Cluster_Medium_B,26422.6,-87551.3,6917.7
LA_Grassland_Mound_Heather_01a46,LevelInstance,LV_Overland/Region/Hogwarts Valley/Hogsmeade_RiverBlockout/LI_Hogsmeade_River/LA_Grassland_Mound_Heather_01a46,6AA3AB3D-4AF6-646D-2541-CE9B6796AF5E,1,DL_HOGSMEADE;DL_OVERLAND,DL_HM_EXT;DL_HOGSMEADE,LI_Hogsmeade_River,/Game/Environment/River/LI_Hogsmeade_River,/Game/Environment/LevelAssemblies/Flora/LA_Heather_Cluster_Medium_B,26220.7,-87653.1,6817.3
LA_RiverBank_LargeStones_A04_noplants,LevelInstance,LV_Overland/Region/Hogwarts Valley/Hogsmeade_RiverBlockout/LI_Hogsmeade_River/LA_RiverBank_LargeStones_A04_noplants,62AD491D-4486-FF25-01D8-95975DF0411E,1,DL_HOGSMEADE;DL_OVERLAND,DL_HM_EXT;DL_HOGSMEADE,LI_Hogsmeade_River,/Game/Environment/River/LI_Hogsmeade_River,/Game/Environment/River/LevelActors/RiverBanks_Large_Stones/LA_RiverBank_LargeStones_A04_noplants,9653.6,-71076.8,3458.7
LA_RiverBank_LargeStones_A04_noplants2,LevelInstance,LV_Overland/Region/Hogwarts Valley/Hogsmeade_RiverBlockout/LI_Hogsmeade_River/LA_RiverBank_LargeStones_A04_noplants2,0A129665-4EC3-7694-6ECA-1EA06FBE10EC,1,DL_HOGSMEADE;DL_OVERLAND,DL_HM_EXT;DL_HOGSMEADE,LI_Hogsmeade_River,/Game/Environment/River/LI_Hogsmeade_River,/Game/Environment/River/LevelActors/RiverBanks_Large_Stones/LA_RiverBank_LargeStones_A04_noplants,9796.6,-70787.5,3433.1
LA_RiverBank_LargeStones_A04_noplants3,LevelInstance,LV_Overland/Region/Hogwarts Valley/Hogsmeade_RiverBlockout/LI_Hogsmeade_River/LA_RiverBank_LargeStones_A04_noplants3,0A23610C-4198-F78F-2C2B-7E84F325CB5B,1,DL_HOGSMEADE;DL_OVERLAND,DL_HM_EXT;DL_HOGSMEADE,LI_Hogsmeade_River,/Game/Environment/River/LI_Hogsmeade_River,/Game/Environment/River/LevelActors/RiverBanks_Large_Stones/LA_RiverBank_LargeStones_A04_noplants,9754.3,-71496.2,3406.4
LA_RiverBank_LargeStones_A04_noplants4,LevelInstance,LV_Overland/Region/Hogwarts Valley/Hogsmeade_RiverBlockout/LI_Hogsmeade_River/LA_RiverBank_LargeStones_A04_noplants4,0CC1A33E-41AF-9A99-8209-EB9855F00D51,1,DL_HOGSMEADE;DL_OVERLAND,DL_HM_EXT;DL_HOGSMEADE,LI_Hogsmeade_River,/Game/Environment/River/LI_Hogsmeade_River,/Game/Environment/River/LevelActors/RiverBanks_Large_Stones/LA_RiverBank_LargeStones_A04_noplants,9544.8,-71574.7,3464.6
LA_RiverBank_LargeStones_A04_noplants5,LevelInstance,LV_Overland/Region/Hogwarts Valley/Hogsmeade_RiverBlockout/LI_Hogsmeade_River/LA_RiverBank_LargeStones_A04_noplants5,74F7F1D3-4241-514D-BFC8-D98F076893F9,1,DL_HOGSMEADE;DL_OVERLAND,DL_HM_EXT;DL_HOGSMEADE,LI_Hogsmeade_River,/Game/Environment/River/LI_Hogsmeade_River,/Game/Environment/River/LevelActors/RiverBanks_Large_Stones/LA_RiverBank_LargeStones_A04_noplants,9347.1,-71841.8,3453.8
LA_RiverBank_LargeStones_A04_noplants6,LevelInstance,LV_Overland/Region/Hogwarts Valley/Hogsmeade_RiverBlockout/LI_Hogsmeade_River/LA_RiverBank_LargeStones_A04_noplants6,D6E98A86-402F-61A4-849E-F2AA5D44D28D,1,DL_HOGSMEADE;DL_OVERLAND,DL_HM_EXT;DL_HOGSMEADE,LI_Hogsmeade_River,/Game/Environment/River/LI_Hogsmeade_River,/Game/Environment/River/LevelActors/RiverBanks_Large_Stones/LA_RiverBank_LargeStones_A04_noplants,9762.8,-72234.9,3430.4
LA_RiverBank_LargeStones_A04_noplants7,LevelInstance,LV_Overland/Region/Hogwarts Valley/Hogsmeade_RiverBlockout/LI_Hogsmeade_River/LA_RiverBank_LargeStones_A04_noplants7,57F6D865-4FAB-7402-66F6-CF8CEE1493FC,1,DL_HOGSMEADE;DL_OVERLAND,DL_HM_EXT;DL_HOGSMEADE,LI_Hogsmeade_River,/Game/Environment/River/LI_Hogsmeade_River,/Game/Environment/River/LevelActors/RiverBanks_Large_Stones/LA_RiverBank_LargeStones_A04_noplants,9915.6,-70227.0,3428.1
LA_RiverBank_LargeStones_A7,LevelInstance,LV_Overland/Region/Hogwarts Valley/Hogsmeade_RiverBlockout/LI_Hogsmeade_River/LA_RiverBank_LargeStones_A7,DC2DFC57-4D05-D5CB-6D33-FF9D4013365D,1,DL_HOGSMEADE;DL_OVERLAND,DL_HM_EXT;DL_HOGSMEADE,LI_Hogsmeade_River,/Game/Environment/River/LI_Hogsmeade_River,/Game/Environment/River/LevelActors/RiverBanks_Large_Stones/LA_RiverBank_LargeStones_A04,8863.0,-72040.0,3551.2
LA_RiverBank_LargeStones_A8,LevelInstance,LV_Overland/Region/Hogwarts Valley/Hogsmeade_RiverBlockout/LI_Hogsmeade_River/LA_RiverBank_LargeStones_A8,63923EDE-4D38-51B1-7FAB-FA8B9FC148E1,1,DL_HOGSMEADE;DL_OVERLAND,DL_HM_EXT;DL_HOGSMEADE,LI_Hogsmeade_River,/Game/Environment/River/LI_Hogsmeade_River,/Game/Environment/River/LevelActors/RiverBanks_Large_Stones/LA_RiverBank_LargeStones_A04,8430.3,-72816.0,3504.6
LA_RiverBank_LargeStones_A9,LevelInstance,LV_Overland/Region/Hogwarts Valley/Hogsmeade_RiverBlockout/LI_Hogsmeade_River/LA_RiverBank_LargeStones_A9,86D58076-48E7-BCEF-8BBF-D487FD9A03C7,1,DL_HOGSMEADE;DL_OVERLAND,DL_HM_EXT;DL_HOGSMEADE,LI_Hogsmeade_River,/Game/Environment/River/LI_Hogsmeade_River,/Game/Environment/River/LevelActors/RiverBanks_Large_Stones/LA_RiverBank_LargeStones_A04,8320.4,-73129.1,3518.9
